Expression	Value	Location	Type	
ADXL_DUR	0x70	0x200018B9	unsigned char	
[330]	1196	0x20000D04	unsigned short	
[331]	1192	0x20000D06	unsigned short	
[332]	1255	0x20000D08	unsigned short	
[333]	1259	0x20000D0A	unsigned short	
[334]	1245	0x20000D0C	unsigned short	
[335]	1247	0x20000D0E	unsigned short	
[336]	1275	0x20000D10	unsigned short	
[337]	1264	0x20000D12	unsigned short	
[338]	1250	0x20000D14	unsigned short	
[339]	1263	0x20000D16	unsigned short	
[340]	1287	0x20000D18	unsigned short	
[341]	1275	0x20000D1A	unsigned short	
[342]	1271	0x20000D1C	unsigned short	
[343]	1280	0x20000D1E	unsigned short	
[344]	1266	0x20000D20	unsigned short	
[345]	1281	0x20000D22	unsigned short	
[346]	1258	0x20000D24	unsigned short	
[347]	1258	0x20000D26	unsigned short	
[348]	1281	0x20000D28	unsigned short	
[349]	1288	0x20000D2A	unsigned short	
[350]	1264	0x20000D2C	unsigned short	
[351]	1256	0x20000D2E	unsigned short	
[352]	1212	0x20000D30	unsigned short	
[353]	1225	0x20000D32	unsigned short	
[354]	1221	0x20000D34	unsigned short	
[355]	1216	0x20000D36	unsigned short	
[356]	1314	0x20000D38	unsigned short	
[357]	1311	0x20000D3A	unsigned short	
[358]	1282	0x20000D3C	unsigned short	
[359]	1298	0x20000D3E	unsigned short	
[360]	1180	0x20000D40	unsigned short	
[361]	1180	0x20000D42	unsigned short	
[362]	1195	0x20000D44	unsigned short	
[363]	1188	0x20000D46	unsigned short	
[364]	1265	0x20000D48	unsigned short	
[365]	1260	0x20000D4A	unsigned short	
[366]	1245	0x20000D4C	unsigned short	
[367]	1240	0x20000D4E	unsigned short	
[368]	1275	0x20000D50	unsigned short	
[369]	1275	0x20000D52	unsigned short	
[370]	1282	0x20000D54	unsigned short	
[371]	1278	0x20000D56	unsigned short	
[372]	1319	0x20000D58	unsigned short	
[373]	1318	0x20000D5A	unsigned short	
[374]	1322	0x20000D5C	unsigned short	
[375]	1322	0x20000D5E	unsigned short	
[376]	1225	0x20000D60	unsigned short	
[377]	1241	0x20000D62	unsigned short	
[378]	1258	0x20000D64	unsigned short	
[379]	1236	0x20000D66	unsigned short	
[380]	1291	0x20000D68	unsigned short	
[381]	1295	0x20000D6A	unsigned short	
[382]	1284	0x20000D6C	unsigned short	
[383]	1274	0x20000D6E	unsigned short	
[384]	1282	0x20000D70	unsigned short	
[385]	1291	0x20000D72	unsigned short	
[386]	1293	0x20000D74	unsigned short	
[387]	1298	0x20000D76	unsigned short	
[388]	1308	0x20000D78	unsigned short	
[389]	1308	0x20000D7A	unsigned short	
[390]	1305	0x20000D7C	unsigned short	
